Company,Sector,Stage,Amount($),HeadQuater,What it does,year,Founded,HeadQuarter,Founders,Investor,What_it_does,column10,Company_Brand
QuaQua,Travel,,1000000.0,,,2020,2016.0,Hyderabad,"Purav Shah, Sandesh Reddy",Anthill Ventures,Virtual travel guide platform,,
Crofarm,Agritech,,1000000.0,,,2020,2016.0,Delhi,"Prashant Jain, Varun Khurana",Smile group,Supply chain that supports farmers and provides businesses with freshest produce,,
Timios,Foodtech,Pre series A,,,,2020,,Bangalore,Aswani Chaitanya,Rangsons Technologies,Provides healthy snacks for kids,,
Wooden Street,Ecommerce,Series A,3000000.0,,,2020,2015.0,Jaipur,"Lokendra Ranawat, Dinesh Pratap Singh, Virendra Ranawat, Vikas Baheti",IAN Fund,It enables to order custom furniture online,,
BankBazaar,Fintech,Series D1,5967000.0,,,2020,2008.0,Chennai,"Adhil Shetty, Arjun Shetty, Rati Shetty,",WSV Capital,Online marketplace that gives customers instant customised offers on loans and credit cards,,
Rentmojo,Rental,,2980000.0,,,2020,2012.0,Bangalore,Geetansh Bamania,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment","Rental platform for furniture, appliances & electronics",,
Credgencies,AI & Debt,Seed Round,,,,2020,2018.0,,"Rishabh Goel, Anand Agrawal, Mayank Khera",Titan Capital,Tech-enabled platform for resolution of non-performing assets,,
Knorish,SaaS/Edtech,Pre series A,323000.0,,,2020,,Delhi,"Kinner N Sacchdev, Rakhi Wadhwa",100x VC,All-in-one knowledge commerce SaaS platform,,
LetsTransport,Logitech,,1326000.0,,,2020,2015.0,Bangalore,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Black Soil,Offers techno logistics solutions,,
Vahak,Transport,Seed Round,,,,2020,2017.0,,"Karan Shaha, Vikas Chandrawat","Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran",It enables logistic companies to conncet with transporters,,
Nutrova,Nutrition,Pre series A,,,,2020,2013.0,Mumbai,Akshay Pai,DSG Consumer Partners,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",,
Cube Wealth,SaaS,Mid series,500000.0,,,2020,2018.0,Mumbai,"Satyen Kothari, Beenext, Asuka Holding","Beenext, Asuka Holding",A digital wealth management services,,
IVF Access,Healthtech,Series A,5000000.0,,,2020,2019.0,Bangalore,"Naresh Rao, Nikhil Rajmohan, Harinath Chakravarthy, Pravin Sethuraman",Vertex Ventures SEA & India,It provdes IVF treatments,,
Hoi Foods,Foodtech,Pre series A,2000000.0,,,2020,2017.0,Delhi,Indrajeet Roy,Crowd Fund,Quality food solution,,
Ola Financial Services,Fintech,Series A,27000000.0,,,2020,,Bangalore,Bhavish Aggarwal,Matrix Partners,It operates Ola Money,,
Awifs,Co-working,,5200000.0,,,2020,2015.0,Delhi,Amit Ramani,"Bisque Limited, Link Investment Trust.",Provides office space solutions,,
Dunzo,Logistics,,55000000.0,,,2020,2014.0,Bangalore,"Kabeer Biswas,  Mukund Jha, Dalvir Suri, Ankur Aggarwal",Undisclosed,India-based hyperlocal delivery startup,,
Swiflearn,Edtech,Seed Round,,,,2020,2019.0,Gurugram,"Abhinav Agarwal, Anand Bakode","Stellaris Venture Partners, Venture Highway",Learning platform for K-10 students looking for personalised learning,,
Remedo,Healthtech,Pre series A,,,,2020,2017.0,Delhi,"Dr Ruchir Mehra, Harsh Bansal, Richeek Arya",River Rock Ventures. Inflection Point Ventures,The platform connects doctors with patients,,
Blowhorn,Logistics,,,,,2020,2014.0,Bangalore,"Mithun Srivatsa, Nikhil Shivaprasad",Trifecta Capital,Tech platform that connects logistics service seekers with mini-truck drivers,,
Toch,AI,Pre series A,1000000.0,,,2020,,Mumbai,"Vinayak Srivastav, Saket Dandotia, Alok Patil","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures","Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos",,
Gram Cover,Insurtech,Pre series A,,,,2020,,Noida,Jatin Singh,"EMVC, Flourish, Omidyar Network India",It provides insurance products in rural areas,,
Coin DCX,Cryptocurrency,,2500000.0,,,2020,2018.0,Mumbai,"Sumit Gupta, Neeraj Khandelwal",Polychain Capital,Hybrid crypto exchange platform,,
HomeCapital,Fintech,,,,,2020,,Mumbai,Lalit Menghani,Varanium NexGen Fund,Home Down Payment Assistance Program,,
Euler Motors,Automotive tech,Series A,2530000.0,,,2020,,Delhi,Saurav Kumar,Inventus III India Fund,Startup focusses on electric vehicles,,
Riskcovry,Insurtech,Pre series A,,,,2020,2018.0,Mumbai,"Suvendu Prusty, Sorabh Bhandari, Chiranth Patil.","Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital",Offers various insurance products,,
NWNT (No Worry No Tension Healthcare),Healthtech,Pre series A,,,,2020,,Delhi,Sandeep Vohra,Amit Burman,Mental healthtech startup,,
Voicezen,AI,,,,,2020,,Gurugram,Anurba Nath,Bharti Airtel,Conversational AI startup,,
Leap Club,,Pre seed round,340000.0,,,2020,,Gurugram,"Ragini Das, Anand Sinha","Whiteboard Capital, FirstCheque, Artha India Ventures, Sweta Rau, Deepak Abbot, Amrish Rau, Harpreet Singh Grover",Community led professional network for women,,
Credit Mantri,Fintech,,792000.0,,,2020,2012.0,Chennai,"Gowri Mukherjee, Ranjit Punja, Rajasundaram Sudarshan","IDG Ventures, Elevar Equity, Accion",Offers free credit score and a detailed credit analysis report,,
Xtracap,Fintech,,1000000.0,,,2020,,Gurugram,Mohammed Riaz,Angel Investors,"Offers online payment solution,schemes, order management, insurance etc.,",,
Tring,Media,,,,,2020,2019.0,Mumbai,"Akshay Saini, Rahul Saini, Pranav Chabhadia","Kalyan Krishnamurthy, Sujeet Kumar, Keshav Sanghi, Roman Saini, Sumit Jain, Hemesh Singh",Celebrity engagement platform,,
Vakilsearch,Legal,,,,,2020,2010.0,Chennai,Hrishikesh Datar,Sujeet Kumar,"Online platform for legal, tax and compliance services",,
Khatabook,Fintech,Series B,60000000.0,,,2020,,Bangalore,Ravish Naresh,B Capital Group,It helps SMEs to maintain their accounts and ledger online.,,
LendingKart,Fintech,Series D,11363000.0,,,2020,2014.0,Ahmedabad,"Harshvardhan Lunia, Mukul Sachan","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",Provides working capital loans and business loans to MSMEs,,
Illumnus,Edtech,Seed Round,100000.0,,,2020,,,"Akash Deep Singhal, Akshaya Singhal",Angel investors. HNI,Offers Collaborative learning management system for educational institutions,,
LetsTransport,Logitech,,1715000.0,,,2020,2015.0,Bangalore,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Innoven Capital,Offers techno logistics solutions,,
Eggoz,Agritech,Seed Round,329000.0,,,2020,2017.0,Bihar,Uttam Kumar,"Tracxn Labs, Angellist, Tri-Deep Capital","Provides technology backed, deep integration services to egg farmers",,
Winuall,Edtech,,,,,2020,2018.0,Bangalore,Ashwini Purohit,"Ankit Bhati, Nitin Gupta",It helps coaching institutes in digitization,,
Indian School Finance Company,Fintech,Seed Round,5271000.0,,,2020,,Hyderabad,,Gray Matters Capital,NBFC that provides funding to education system,,
Juicy Chemistry,,Series A,650000.0,,,2020,2014.0,,Pritesh Asher,Akya Ventures,It focuses on organic based skincare products,,
DeepTek,Healthtech,,,,,2020,2018.0,Pune,"Amit Kharat, Ajit Patil, Aniruddha Pant",GHV Accelerator,AI enabled radiology platform,,
Stepathlon Lifestyle,Fitness,,,,,2020,2012.0,Mumbai,"Krishnan, Shane Bilsborough","Josh Liberman, Mark Adams",It organises corporate wellness programs,,
Sindhuja Microcredit,Fintech,,8700000.0,,,2020,2018.0,Noida,"Abhisheka Kumar, Malkit Didyala",Nordic Microfinance Initiative,It provides financial services to self employed women entrepreneurs,,
Rentmojo,Rental,,3226000.0,,,2020,2012.0,Bangalore,Geetansh Bamania,"Chiratae Ventures, Accel Partners, BCIP Venture Associates, Bain Capital, Renaud Laplanche","Rental platform for furniture, appliances & electronics",,
Tesco Charge Zone,EV,,,,,2020,,Gujarat,Kartikey Hariyani,Mumbai Angels Network,Operates electric vehicle charging zone,,
Intello Labs,"Supply chain, Agritech",Series A,5900000.0,,,2020,2016.0,Gurugram,"Milan Sharma, Nishant Mishra, Himani Shah, Devendra Chandani",Saama Capital,Standardisation and Quality control of fruits & vegetables,,
SirionLabs,SaaS,Series C,44000000.0,,,2020,2012.0,Gurugram,Ajay Agrawal,"Tiger Global, Avatar Growth Capital","Provides procurement, outsourcing services & contract management software",,
Magicpin,,,3879000.0,,,2020,2015.0,Gurugram,"Anshoo Sharma, Brij Bhushan",Lightspeed Venture Partners,"It is a local discovery, rewards, and commerce platform",,
GroCurv,B2B,Seed Round,,,,2020,2019.0,Gurugram,"Venkatesh Rangachari, Vipul Gupta",Unicorn Investments Pte Ltd,"It offers a wide range of business related services like Branding, marketing, sales etc.,",,
Refrens,SaaS,Seed Round,1000000.0,,,2020,2019.0,Bangalore,"Naman Sarawagi, Mohit Jain","Vijay Shekhar Sharma, Anupam Mittal","Offers a free invoicing, payments and expense management system",,
Shiprocket,Logitech,Series C,13000000.0,,,2020,2017.0,,Saahil Goel,"Tribe Capital, Innoven Capital, BII",Tech enabled logistics aggregator,,
Spyne,AI,Pre series A,,,,2020,,Gurugram,"Sanjay Kumar, Deepti Prasad","Angellist, Smile Group, Manish Amin, Anil Goel, Anubhav Sonthalia, Deepak Mittal",Helps online businesses with visual content,,
Nykaa,Ecommerce,,8800000.0,,,2020,2012.0,Mumbai,Falguni Nayar,Steadview capital,Deals in cosmetic and wellness products,,
Docsapp,Healthtech,,9500000.0,,,2020,2015.0,Bangalore,Satish Kannan,"Bessemer Venture Partners India, Fusian Capital, Rebright Partners, Milliways Fund LLC",Online doctor consultation app,,
Phable,Healthtech,Pre series A,1000000.0,,,2020,2018.0,,"Sumit Sinha,  Mukesh Bansal",Inflection Point Ventures,"It creates an engagement loop between doctors, hospitals, and patients via its app",,
Generic Aadhaar,Pharma,,,,,2020,,,Arjun Deshpande,Ratan Tata,It provides a platform for entrepreneurs to access generic  medicine at low cost,,
Nium,Fintech,,,,,2020,,,Prajit Nanu,"VisaVentures, BRI Ventures",Open global money platform,,
Mintoak,Fintech,Pre series A,2000000.0,,,2020,,Mumbai,"Raman Khanduja, Sanjay Nazareth",Pravega Ventures,Merchant payment solutions startup,,
VestSpace,Spacetech,,10000000.0,,,2020,2018.0,Pune,Arun Kumar Sureban,Next Capital,It builds small satellite paltforms,,
Blackbuck,Logistics,,,,,2020,2015.0,Bangalore,Rajesh Yabaji,Trifecta Venture,Provides trucking services,,
Vernacular ai,AI,Series A,5100000.0,,,2020,2016.0,Bangalore,"Gupta, Akshay Deshraj, Manoj Sarda","Exfinity Ventures, IAN Fund",It offers Multiligual AI platform,,
Clover,Agritech,,920000.0,,,2020,,Bangalore,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura",Alteria Capital,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,,
Varthana,Fintech,Series D,15000000.0,,,2020,,Bangalore,Steve Hardgrave,ChrysCapital,Offers secured and unsecured loans,,
Codeninja,SaaS,Seed Round,,,,2020,2016.0,Bangalore,"Prashanth Kuppur, Deepak Kalhan, Saurabh Kukreti, Richpal Gora","Hari Balasubramanian, EaSyndicate",AI-powered 'no-code' platform which can generate application development code,,
MetaMerphoSys,Insurance technology,Pre series A,,,,2020,2016.0,Pune,"Amit Naik, Kewal Vargante",Good Capital,Digital insurance platform for businesses,,
Rooter,Gaming,Pre series A,1700000.0,,,2020,2016.0,Delhi,"Piyush, Dipesh Agarwal","Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",Live sports engagement platform,,
Aker Foods,Foodtech & Logistics,,,,,2020,2019.0,Pune,Suraj Saste,Mumbai Angels Network,Ai driven supply chain platform,,
Sascan Meditech pvt ltd,Healthtech,,,,,2020,2015.0,Kerala,Dr Subhash Narayanan,Unicorn India Ventures,They are developing technology that can detect early cancerous cells,,
DailyHunt,Media,,35600000.0,,,2020,2009.0,,Virendra Gupta,Lupa India,News aggregator,,
Pratilipi,Media,Series C,9400000.0,,,2020,2014.0,Bangalore,"Ranjeet Pratap Singh, Sankaranarayanan Devarajan, Sahradayi Modi, Rahul Ranjan, Prashant Gupta",Tencent,A digital platform that connects readers and writers in various languages,,
Biryani By Kilo,Food,Series B,790000.0,,,2020,,Delhi,Vishal Jindal,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",Online paltform to order biryani,,
Consure Medical,Healthtech,,480000.0,,,2020,,Delhi,"Nishith Chasmawala, Amit Sharma","Accel Partners, Jungle Ventures","Novel platform technologies to manage, diagnose, and treat various GI disorders",,
Servify,,,250000.0,,,2020,,Mumbai,Sreevathsa Prabhakar,Barkawi,It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users,,
Tessol,Logistics,Series A,160000.0,,,2020,,Mumbai,Rajat Gupta,1Funds Domestic Scheme,It provides end to end cold chain logistics solutions,,
Remedo,Healthtech,Pre series A,,,,2020,,Noida,Harsh Bansal,RiverRock Ventures,"It helps doctors engage with patients, improve patient experience",,
News Reach,Media,,,,,2020,2018.0,Ahmedabad,Darshan Shah,Mumbai Angels Network,"It is a platform that digitalises local newspaper publishers, reporters, stringers by aggregating their content",,
RoomSoom,Housing,,,,,2020,2016.0,Noida,"Nitin Agrawal, Garima Agrawal",Mumbai Angels Network,It provides co-living and student rooms,,
Pedagogy,Edtech,,400000.0,,,2020,2015.0,,"Archin Shah, Abhilash Sonwane, Ritesh Gandhi",Inflection Point Ventures,It has a single subscription model that allows users to access books and digital courses.,,
Classplus,Edtech,Series B,8200000.0,,,2020,2008.0,Delhi,"Mukul Rustagi, Bhaswat Agarwal",RTP Global,"It provides mobile-first software for coaching institutes, tuition centres and private tutors",,
Medlife,Pharmaceutical,,15500000.0,,,2020,2014.0,Bangalore,"Tushar Kumar, Prashant Singh",Hero Fincorp,It solves inadequacies in the healthcare delivery system through technology,,
Qin1,Edtech,,,,,2020,,Noida,"Ishan Gupta, Aarti Gupta",Venture Catalysts,It is alearning platform for kids in the age group 5 to 14 yrs,,
MYSUN,Tech,Pre series A,4257000.0,,,2020,2015.0,Delhi,"Gagan Vermani, Divyanshu Sachdev, Gyan Prakash Tiwari",Undisclosed,Platform for rooftop solar energy solutions,,
ShopX,Ecommerce,,1410000.0,,,2020,2015.0,Bangalore,"Amit Sharma, Apoorva Jois",Li and Fung,B2B retail operating system,,
Sarva,Yoga & wellness,,,,,2020,,,Sarvesh Shashi,"Mantra Capital, Patni Family",It drives a cultural change in making yoga-based wellness a part of modern lifestyle,,
Expertrons,AI,Seed Round,,,,2020,,Mumbai,"Vivek Gupta, Jatin Solanki","Nikhil Vora, Iceland Venture Studio, LetsVenture, Samyakth Capital",AI video bot platform for career hacks,,
NewsBytes,Digital Media,Series A,1500000.0,,,2020,,Gurugram,"Romesh Khaddar, Shikha Chaudhry, Sumedh Chaudhry",North Base Media,News portal,,
Wagonfly,,,500000.0,,,2020,2018.0,Bangalore,Raghavendra Prasad,Investment Trust of India,Contactless shopping and delivery experience by using radio frequency to tag retail items,,
NIRA,Fintech,Pre series A,2100000.0,,,2020,2018.0,,"Rohit Sen, Nupur Gupta",Angel investors,It offers access and credit to working Indians,,
Convosight,Data Analytics,Pre series A,4000000.0,,,2020,2019.0,Hyderabad,"Tarun Dhamija, Kartik Bansal","IvyCap Ventures, Sequoia Capital",It helps business gain insights from its community on Facebook groups,,
Fittr,Fitness,,2000000.0,,,2020,,Pune,Jitendra Chouksey,"Sequoia Capital Surge, Better Capital",Fitness Social Network & Consultation Platform,,
AsknBid,Investment Tech,,,,,2020,2018.0,Bangalore,"Suresh Bavisetti, Paarth Dhar",Ravikanth Reddy & Mumbai Angel Network,It builds algorithmic investing-based tech products,,
Bira91,Beverage,Series C,20000000.0,,,2020,2015.0,Bangalore,Ankur Jain,"Sequoia Capital, Sofina",Craft beer maker,,
Finaureus Technologies,Fintech,Pre series A,,,,2020,2017.0,Pune,"Arindam Ghosh, U R Bhatt",Pinetree Capital,Provides investment management solutions,,
Daily Ninja,Ecommerce,,349800.0,,,2020,2014.0,Haryana,Sagar Yarnalkar,Big Basket,Online Milk Delivery startup,,
Guvi Geek Network Pvt Ltd,Edtech,Pre series A,786000.0,,,2020,2014.0,Chennai,"SP Balamurugan, Arun Prakash, Sri Devi",Education Catalyst Fund,Operates vernacular-language based education,,
LoadShare,Logistics,Series B,2004000.0,,,2020,2017.0,Bangalore,"Raghuram Talluri, Tanmoy Karmakar, Rakib Ahmed",CDC Group,Provides technology based solutions to SMEs in logistics,,
Vedantu,Edtech,Series C,6800000.0,,,2020,,Bangalore,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",KB Global Platform Firm,Onine learning platform,,
Indusface,IT,,5000000.0,,,2020,2004.0,,"Venkatesh Sundar, Nandini Tandon",Tata Capital Growth Fund II,It provides IT security solutions,,
DMI Group,Financial Services,,123000000.0,,,2020,2008.0,Delhi,"Shivashish Chatterjee, Yuvraja Singh",NXC Corporation,Pan-India Credit providing platform,,
Spintly,IoT,Pre series A,248000.0,,,2020,2017.0,Goa,"Rohin Parkar, Malcolm Dsouza",Saltwater Venture Sparks,It is a wireless cloud-based access control system,,
Credr,Automobile,,,,,2020,2014.0,Mumbai,Mittal,Stride Ventures,A marketplace to buy and sell used bikes and scooters,,
Bijak,Agritech,Series A,12000000.0,,,2020,,Gurugram,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi",RTP Global,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics",,
Bugworks,Biopharma,,7500000.0,,,2020,2014.0,Bangalore,Anand Anandkumar,"University of Tokyo Edge Capital, Global Brain Corporation",A drug discovery company that aims to discover novel treatment options for resistant bacterial infections,,
DrinkPrime,,Seed Round,,,,2020,,Bangalore,"Manas Ranjan Hota, Vijender Reddy","Abhishek Goyal, Bharat Jaisinghani, FirstCheque",Water purifier subscription service,,
Yap,Fintech,Series A,4500000.0,,,2020,,Chennai,"Madhusudanan R, Muthukumar and Prabhu",BeeNext,Banking and payment products-focused API platform,,
UzhavarBumi,Dairy,,,,,2020,2017.0,Tamil Nadu,"Vetrivel Palani, Paneerselvam",Angel Network,Provides fresh dairy products,,
Tattva,Beauty & wellness,,150000.0,,,2020,2018.0,Delhi,"Megha Wadhwa, Karnesh Mahendru","Sukhbir Singh, Rakhee Singal",Sells its organic and beauty products via marketplace,,
Pariksha,Edtech,Pre series A,,,,2020,2015.0,Pune,"Karanvir Singh, Utkarsh Bagri, Vikram Shekhawat, Deepak Choudhary","INSEAD Angels, IIT Kanpur Angels, Sixth Sense Ventures, Saahil Bhatia",Platform for vernacular test-preparation,,
DailyHunt,Media,,24000000.0,,,2020,,,Virendra Gupta,"Bytedance, Falcon Edge, Goldman Sachs, Advent Management",News aggregator,,
NoBroker,Real Estate,,30000000.0,,,2020,2014.0,Bangalore,"Amit Kumar Agarwal, Akhil Gupta, Saurabh Garg",General Atlantic,Online real estate rental startup,,
Box8,Foodtech,,4000000.0,,,2020,2011.0,Mumbai,"Amit Raj, Anshul Gupta","IIFL Seed Ventures Fund, Menlo park",Enables to order food online,,
Capital Float,Fintech,,15000000.0,,,2020,2013.0,Bangalore,"Gaurav Hinduja, Sashank Rishyasringa","Ribbit Capital, SAIF Partners, Sequoia Capital India, Amazon",Online platform that provides working capital finance to SMEs,,
ITILITE,Travel & SaaS,Series B,13000000.0,,,2020,,Bangalore,"Mayank Kukreja, Anish Khadiya","Greenoaks Capital, Vy Capital. Matrix Partners India",Platform for business travel,,
Morning Context,Digital Media,Seed Round,,,,2020,,,,Angel investors,A subscription-only digital media publisher,,
Aavenir,SaaS,Seed Round,2000000.0,,,2020,2019.0,Ahmedabad,Ashish Bhandari,Accel,Source-to-Pay Software,,
Savvy Co op,Healthcare,,,,,2020,,,Jen Horonjeff,Indie VC,It connects patients with healthcare companies,,
BLive,Tourism & EV,Pre series A,,,,2020,2018.0,,"Samarth Kholkar, Sandeep Mukherjee",Mumbai Angels Network,"It offers experiential, guided tours on smart electric bikes",,
Yellow Messenger,AI,Series B,20000000.0,,,2020,,Bangalore,Raghavendra Kumar Ravinutala,"Lightspeed Venture Partners, Lightspeed India Partners.",It offers conversational chatbots,,
Toch,Media Tech,,400000.0,,,2020,,,"Vinayak Shrivastav, Saket Dandotia, Alok Patil",Inflection Point Ventures,AI based Video object detection and Tagging platform,,
Ewar,Gaming,,200000.0,,,2020,,Bangalore,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",E-sports and real-time gaming startup,,
Setu,Fintech,Series A,14259000.0,,,2020,,,"Sahil Kini, Nikhil Kumar","Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund.","Offers open APIs across four categories: bills, savings, credit, and payments.",,
Wellthy Therapeutics,Healthtech,Pre series A,4000000.0,,,2020,,Bangalore,Abhishek Shah,Saama Capital,It offers a digital therapeutics service,,
Power Gummies,Health,,,,,2020,2018.0,Delhi,Divij Bajaj,Venture Catalysts,Offers health supplements related gummies,,
Locale ai,Location Analytics,,,,,2020,2019.0,Bangalore,"Rishabh Jain, Aditi Sinha",Better Capital,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,,
FarEye,Logistics,Series D,24500000.0,,,2020,,Delhi,"Gaurav Srivastava, Gautam Kumar, Kushal Nahata","M12, Honeywell venture capital, Eight Roads Venture","It enables businesses to execute, track, predict and oprimize the movements of goods",,
Rebel Foods,Food tech,,50000000.0,,,2020,,,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,It runs internet kitchen,,
BankBazaar,Fintech,Series D,3800000.0,,,2020,2008.0,Chennai,"Adhil Shetty, Arjun Shetty, Rati Shetty,","Amazon, Sequoia, Walden SKT Venture Fund",Online marketplace that gives customers instant customised offers on loans and credit cards,,
Porter,Logistics,Series D,18370000.0,,,2020,2014.0,Mumbai,"Pranav Goel, Uttam Digga",Lightstone Global Funds,Logistics and fleet management,,
SugarBox,Tech,,68525000.0,,,2020,,Mumbai,Rohit Paranjpe,Zee Entertainment Enterprises Limited,Hyperlocal data distribution platform,,
Capital Float,Fintech,Series F,4800000.0,,,2020,2013.0,Bangalore,"Gaurav Hinduja, Sashank Rishyasringa","Amazon Inc`, Dinesh J Hinduja",Online platform that provides working capital finance to SMEs,,
Big Basket,E store,,60000000.0,,,2020,,Bangalore,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Alibaba Holdings,Online grocery store,,
Amica,Fintech,,2000000.0,,,2020,,,Jitendra Gupta,"Hummingbird Ventures, Bedrock Capital",Neobanking startup,,
Vedantu,Edtech,Series C,12500000.0,,,2020,,Bangalore,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Legend Capital,Onine learning platform,,
Fingerlix,Food,,1834000.0,,,2020,2016.0,,"Shrikrishna Bharambe, Shripad Nadkarni, Varun Khanna, Abhijit Berde","Accel, Zephyr Peacock, Swiggy, RB Investments.","It provides ready-to-cook products such as batters, mixes, curries, dals, parathas etc.,",,
Plop,Tech,Angel Round,,,,2020,,Mumbai,"Vineet Shetty, Anushka Shetty","Better Capital, LetsVenture, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi",It Provides an interactive fiction entertainment platform to entertain & educate Gen Z & Millennials in a language they understand,,
Zupee,Gaming,Series A,8000000.0,,,2020,2018.0,,"Malhi, Siddhant Saurabh",Matrix Partners,It runs live quiz tournaments on its app.,,
DeHaat,Agritech,Series A,12000000.0,,,2020,2012.0,,Shashank Kumar,Sequoia Capital India,Online marketplace for farming services and products,,
Lido Learning,Edtech,Series B,7500000.0,,,2020,,Mumbai,Sahil Sheth,Bace Capital,Online teaching service,,
Aye Finance,Fintech,,23850000.0,,,2020,2014.0,Gurugram,"Vikram Jetley, Sanjay Sharma",Undisclosed,A finance lender to SMEs,,
Swiggy,Foodtech,Series A,43000000.0,,,2020,2014.0,Bangalore,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini","Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets",Platform to order food online from restaurants and getting it delievered,,
Akna Medical,Healthtech,,7000000.0,,,2020,2018.0,,"Saurabh Pandey, Mahadevan Narayanamoni",LGT Lightstone Aspada,Provides supply solutions for surgical and pharmaceutical products.,,
Zomato,Foodtech,,5000000.0,,,2020,,Gurugram,Deepinder Goyal,Pacific Horizon,Online food delivery and restaurant discovery platform,,
RaRa Delivery,Logistics,Seed Round,800000.0,,,2020,,,Karan Bhardwaj,"Der Shing Lim, 500 startups",Provides same day delivery service for ecommerce businesses,,
JusPay,Fintech,Series B,21600000.0,,,2020,,Bangalore,Vimal Kumar,Vostok Emerging Finance,Online payment solutions,,
Obviously AI,Data Science,,,,,2020,2018.0,,"Tapojit Debnath, Nirman Dave",Arka Venture Labs,It provides predictive insights to clients by leveraging their data,,
Fingpay,Fintech,Series A,3500000.0,,,2020,2016.0,Mumbai,"Pratyush Halen, Anuraag Agrawal",IvyCap Ventures,Provides payment solutions,,
Recko,SaaS,Series A,6000000.0,,,2020,2017.0,Bangalore,"Prashant Border, Saurya Prakash Sinha",Vertex Ventures,The platform enables AI-powered reconciliation of digital transactions,,
Furlenco,Ecommerce,,10000000.0,,,2020,2012.0,Bangalore,Ajith Mohan Karimpana,"Chowdry Associates, Lightbox",Furniture rental startup,,
Mera Cashier,Fintech,,150000.0,,,2020,2019.0,Noida,"Suneel Kumar, Gaurav Tomar, Sucharita Redd","Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg",App meant for small and micro businessmen to manage their transactions digitally,,
Kitchens Centre,,Seed Round,500000.0,,,2020,2019.0,Delhi,Lakshay Jain,AngelList India,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,,
Camp K12,Edtech,Seed Round,4000000.0,,,2020,,Gurugram,"Anshul Bhagi, Sandeep Bhagi","Matrix Partners, SAIF Partners",It connects students with tutors online,,
MedGenome,Healthtech,Series D,55000000.0,,,2020,2013.0,Bangalore,Sam Santhosh,LeapFrog Investments,Genetic diagnostic testing company,,
Ergos,Agritech,,4598000.0,,,2020,,Bangalore,"Kishor Jha, Praveen Kumar",Aavishkar Capital,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,,
Nykaa,Ecommerce,,13137000.0,,,2020,2012.0,Mumbai,Falguni Nayar,Steadview capital,Deals in cosmetic and wellness products,,
Samadhan,Insurance,Seed Round,,,,2020,2018.0,Delhi,"Deepak Bhuvneshwari Uniyal, Shilpa Arora, Shailesh Kumar, Sanjay Aggarwal",Venture Catalysts,They help find solutions to insurance related issues,,
SaScan,Healthcare,,,,,2020,,Bangalore,Subhash Narayanan,Unicorn India ventures,Cancer diagnostics startup,,
Lido Learning,Edtech,,3000000.0,,,2020,,Mumbai,Sahil Sheth,"Pecus Capital, Madhur Deora",Online teaching service,,
CureFit,Health and Fitness,Series D,115000000.0,,,2020,2016.0,Bangalore,"Mukesh Bansal, Ankit Nagori",Temasek,"Integrated platform for food, fitness and meditation.",,
Nimesa,SaaS,,,,,2020,2018.0,Bangalore,"Tapesh Goyal, Rajesh Vaidhyanathan",Ideaspring capital,Cloud data managemnt solutions enterprise,,
Design X,IoT,Seed Round,200000.0,,,2020,,Noida,Preet Arjun Singh,ThinkNext LLC,Builds IoT based products,,
Driftly Electric,Automobile,,,,,2020,,Bangalore,Sneha Roy,MG Motor India,Electric vehicle startup,,
